system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
water_199k,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_499k,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
capped_ala,22,MACE-MH-1,float32,cuda:0,100,100,3.9146,25.55,39.15,230.0,ok,
chignolin,138,MACE-MH-1,float32,cuda:0,100,100,6.3544,15.74,63.54,1064.0,ok,
ubiquitin,602,MACE-MH-1,float32,cuda:0,100,100,23.8468,4.19,238.47,3806.0,ok,
2LZM,1427,MACE-MH-1,float32,cuda:0,100,100,55.805,1.79,558.05,9016.0,ok,
1ZG4,2224,MACE-MH-1,float32,cuda:0,100,100,87.1735,1.15,871.74,14380.0,ok,
3N5G,2304,MACE-MH-1,float32,cuda:0,100,100,93.5954,1.07,935.95,14500.0,ok,
5G1P,?,MACE-MH-1,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 6.44 GiB. GPU 0 has a total capacity of 22.06 GiB of which 3.66 GiB is free. Including non-PyTorch memory, this process has 18.39 GiB memory in use. Of the allocated memory 17.90 GiB is allocated by PyTorch, and 207.49 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1B3B,?,MACE-MH-1,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
9VM6,?,MACE-MH-1,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_99k,?,MACE-MH-1,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_199k,?,MACE-MH-1,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_499k,?,MACE-MH-1,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
capped_ala,22,MACE-OMOL-0,float32,cuda:0,100,100,6.3169,15.83,63.17,462.0,ok,
chignolin,138,MACE-OMOL-0,float32,cuda:0,100,100,12.7683,7.83,127.68,2350.0,ok,
ubiquitin,602,MACE-OMOL-0,float32,cuda:0,100,100,217.6706,0.46,2176.71,7126.0,ok,
2LZM,1427,MACE-OMOL-0,float32,cuda:0,100,100,86.7031,1.15,867.03,17694.0,ok,
1ZG4,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,error,
3N5G,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,error,
5G1P,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 7.82 GiB. GPU 0 has a total capacity of 22.06 GiB of which 6.20 GiB is free. Including non-PyTorch memory, this process has 15.85 GiB memory in use. Of the allocated memory 15.48 GiB is allocated by PyTorch, and 78.85 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1B3B,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
9VM6,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_99k,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_199k,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_499k,?,MACE-OMOL-0,float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
